recording,scene,motion,frame_number,camera_frame_index,detection_index,confidence,fused_zc_m,depth_map_file,depth_time_delta_sec,depth_roi_valid,depth_roi_valid_pixel_count,zed_depth_median_m,zed_depth_iqr_m,signed_z_diff_m,abs_z_diff_m,relative_abs_z_diff,skip_reason
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,0,0,0,0.9156267642974854,3.616071939468384,1731407367_142145459.npy,0.0,True,3354,2.794799327850342,0.9940090775489807,0.821272611618042,0.821272611618042,0.2938574528174569,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,1,2,0,0.9267883896827698,3.6848700046539307,1731407367_410506459.npy,0.0,True,3835,2.8610568046569824,1.0968178510665894,0.8238131999969482,0.8238131999969482,0.28794017604125016,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,2,2,0,0.9267883896827698,3.55526065826416,1731407367_410506459.npy,0.0,True,3835,2.8610568046569824,1.0968178510665894,0.6942038536071777,0.6942038536071777,0.24263896210561509,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,3,4,0,0.942778468132019,2.9921998977661133,1731407367_543824459.npy,0.0,True,3797,2.7629382610321045,0.909487247467041,0.2292616367340088,0.2292616367340088,0.08297747364371702,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,4,5,0,0.9404552578926086,0.8768235445022583,,0.06580901145935059,False,0,,,,,,no_matching_depth_map
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,5,6,0,0.941443920135498,0.8730434775352478,1731407367_676273459.npy,0.0,True,2548,2.7428770065307617,0.9745948910713196,-1.869833528995514,1.869833528995514,0.6817052038948374,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,6,8,0,0.9325682520866394,0.9575555920600891,1731407367_809890459.npy,0.0,True,448,1.107785701751709,1.2717250883579254,-0.15023010969161987,0.15023010969161987,0.13561297049967824,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,7,9,0,0.92205810546875,1.006866693496704,1731407367_876587459.npy,0.0,True,1249,1.9083366394042969,1.8975163698196411,-0.9014699459075928,0.9014699459075928,0.4723851794770309,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,8,11,0,0.9121642112731934,1.0450130701065063,1731407368_010897459.npy,0.0,True,3600,1.105210304260254,0.04313942790031433,-0.06019723415374756,0.06019723415374756,0.05446676883277806,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,9,12,0,0.9276005625724792,1.045420527458191,1731407368_076921459.npy,0.0,True,4874,1.1238188743591309,0.07959336042404175,-0.07839834690093994,0.07839834690093994,0.06976066044952964,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,10,14,0,0.9258414506912231,1.0806063413619995,1731407368_210717459.npy,0.0,True,9334,1.1301522254943848,0.18345870077610016,-0.049545884132385254,0.049545884132385254,0.04384000934981252,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,11,14,0,0.9258414506912231,1.122805118560791,1731407368_210717459.npy,0.0,True,9334,1.1301522254943848,0.18345870077610016,-0.00734710693359375,0.00734710693359375,0.006500988776427671,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,12,15,0,0.9603972434997559,1.1857293844223022,1731407368_478839459.npy,0.0,True,24964,1.190788984298706,0.1107420027256012,-0.005059599876403809,0.005059599876403809,0.0042489474987741594,
footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,footpath,moving,13,15,0,0.9603972434997559,1.2566293478012085,1731407368_478839459.npy,0.0,True,24964,1.190788984298706,0.1107420027256012,0.06584036350250244,0.06584036350250244,0.055291377708938036,
