combination_id,combination_label,recording,frames_evaluated,gt_dets,tracker_dets,gt_ids,tracker_ids,HOTA,DetA,AssA,LocA,HOTA_0,MOTA,MOTP,IDSW,IDF1,IDP,IDR,MT,PT,ML,Frag,CLR_TP,CLR_FP,CLR_FN,IDTP,IDFP,IDFN,tracker_only_fps,cached_pipeline_fps,tracking_output_dir
P1,G YOLO + G PointPillars,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,249,198,143,1,7,0.153559,0.275041,0.087113,0.668514,0.368244,-0.30303,0.659404,5,0.087977,0.104895,0.075758,0,1,0,9,44,99,154,15,128,183,1408.850201,1116.937016,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P1/footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label
P1,G YOLO + G PointPillars,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,184,184,99,1,4,0.116744,0.202253,0.069494,0.631408,0.290291,-0.391304,0.577337,1,0.084806,0.121212,0.065217,0,0,1,6,14,85,170,12,87,172,1493.349025,1333.635528,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label
P1,G YOLO + G PointPillars,in_straw_3pick_diff_st_10_24_2024_5_a_label,122,200,37,2,2,0.091834,0.084432,0.103439,0.670678,0.188312,-0.095,0.691146,0,0.075949,0.243243,0.045,0,0,2,1,9,28,191,9,28,191,1034.116513,969.066661,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P1/in_straw_3pick_diff_st_10_24_2024_5_a_label
P1,G YOLO + G PointPillars,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,303,482,255,3,15,0.106221,0.206916,0.056255,0.661109,0.21255,-0.091286,0.59248,19,0.12483,0.180392,0.095436,0,3,0,28,115,140,367,46,209,436,2004.902775,1095.181905,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P1/out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label
P1,G YOLO + G PointPillars,out_vine_1push_3carry_st_ly_11_06_2024_1_label,131,417,173,4,9,0.088689,0.096894,0.084123,0.654978,0.181811,-0.251799,0.622162,2,0.101695,0.17341,0.071942,0,0,4,2,35,138,382,30,143,387,1675.501312,803.099513,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P1/out_vine_1push_3carry_st_ly_11_06_2024_1_label
P1,G YOLO + G PointPillars,out_vine_4swap+walk_st_ly_11_06_2024_2_label,273,969,246,4,13,0.107323,0.126895,0.091902,0.678367,0.190552,0.04128,0.630545,10,0.171617,0.422764,0.10766,0,2,2,22,148,98,821,104,142,862,2082.802222,1219.929176,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P1/out_vine_4swap+walk_st_ly_11_06_2024_2_label
P2,FT YOLO + G PointPillars,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,249,198,144,1,7,0.153944,0.2759,0.087275,0.668086,0.370269,-0.308081,0.659404,5,0.087719,0.104167,0.075758,0,1,0,9,44,100,154,15,129,183,1516.289037,1227.727839,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P2/footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label
P2,FT YOLO + G PointPillars,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,184,184,99,1,4,0.117044,0.20267,0.069361,0.631875,0.292622,-0.396739,0.580882,2,0.084806,0.121212,0.065217,0,0,1,6,14,85,170,12,87,172,1511.075432,1359.726693,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P2/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label
P2,FT YOLO + G PointPillars,in_straw_3pick_diff_st_10_24_2024_5_a_label,122,200,27,2,2,0.065714,0.054806,0.07903,0.662483,0.160845,-0.125,0.665003,0,0.008811,0.037037,0.005,0,0,2,0,1,26,199,1,26,199,1035.048788,972.413451,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P2/in_straw_3pick_diff_st_10_24_2024_5_a_label
P2,FT YOLO + G PointPillars,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,303,482,248,3,15,0.118702,0.212068,0.067825,0.662331,0.236935,-0.080913,0.594238,17,0.142466,0.209677,0.107884,0,3,0,27,113,135,369,52,196,430,2091.891231,1162.154857,results/aghri_deepfusionmot_tracking/eight_combo_test_manifest_best_val_policy/P2/out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label
