combination_id,combination_label,recording,tracker_only_fps,cached_pipeline_fps,live_ros2_end_to_end_fps,yolo_latency_mean_ms,yolo_latency_p95_ms,lidar_latency_mean_ms,lidar_latency_p95_ms,tracking_latency_mean_ms,tracking_latency_p95_ms,live_processed_outputs,live_measurement_duration_s,live_status
S1,G YOLO + G SECOND,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,,,13.010758,,,,,,,,,2x playback; 1/1 ok run(s)
S1,G YOLO + G SECOND,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,,,10.450441,,,,,,,,,2x playback; 1/1 ok run(s)
S1,G YOLO + G SECOND,in_straw_3pick_diff_st_10_24_2024_5_a_label,,,7.931299,,,,,,,,,2x playback; 1/1 ok run(s)
S1,G YOLO + G SECOND,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,,,15.645888,,,,,,,,,2x playback; 1/1 ok run(s)
S1,G YOLO + G SECOND,out_vine_1push_3carry_st_ly_11_06_2024_1_label,,,13.52035,,,,,,,,,2x playback; 1/1 ok run(s)
S1,G YOLO + G SECOND,out_vine_4swap+walk_st_ly_11_06_2024_2_label,,,15.80204,,,,,,,,,2x playback; 1/1 ok run(s)
S2,FT YOLO + G SECOND,footpath1_p1_nj+mk+gl_1walk+check_mv_11_12_2024_1_label,,,12.399954,,,,,,,,,2x playback; 1/1 ok run(s)
S2,FT YOLO + G SECOND,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label,,,11.330077,,,,,,,,,2x playback; 1/1 ok run(s)
S2,FT YOLO + G SECOND,in_straw_3pick_diff_st_10_24_2024_5_a_label,,,8.109434,,,,,,,,,2x playback; 1/1 ok run(s)
S2,FT YOLO + G SECOND,out_straw_1push_1walk_1swap_st_11_07_2024_1_b_label,,,13.437332,,,,,,,,,2x playback; 1/1 ok run(s)
S2,FT YOLO + G SECOND,out_vine_1push_3carry_st_ly_11_06_2024_1_label,,,13.939477,,,,,,,,,2x playback; 1/1 ok run(s)
