figure_number,filename,purpose,input_files,data_rows,script_used
01,figures/01_raw_zed_rgb_image.png,Raw selected ZED RGB image,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/sensor_data/cam_zed_rgb/1731407186_779812459.png,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
02,figures/02_raw_lidar_pointcloud.png,Raw Livox point cloud,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part1/footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/sensor_data/lidar/1731407186_709929023.pcd,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
03,figures/03_yolo_detection.png,Fine-tuned YOLO detection on raw image,/home/prabuddhi/Desktop/late_fusion/deepfusionmot/results/aghri_pointpillars_detector_comparison/cache/yolo_finetuned/detections.csv,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
04,figures/04_pointpillars_3d_detection.png,PointPillars 3D detection over point cloud,/home/prabuddhi/Desktop/late_fusion/deepfusionmot/results/aghri_pointpillars_detector_comparison/cache/pointpillars_finetuned/detections.csv,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
05,figures/05_box_origin_convention.png,Box-origin convention explanation,/home/prabuddhi/Desktop/late_fusion/deepfusionmot/results/aghri_pointpillars_detector_comparison/cache/pointpillars_finetuned/detections.csv,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
06,figures/06_eight_lidar_box_corners.png,Eight LiDAR-frame box corners,/home/prabuddhi/Desktop/late_fusion/deepfusionmot/results/aghri_pointpillars_detector_comparison/cache/pointpillars_finetuned/detections.csv,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
07,figures/07_lidar_to_camera_transformation.png,Verified LiDAR-to-camera transform,/media/prabuddhi/Backup2/Updated Dataset_PW/calibration.zip,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
08,figures/08_projected_cuboid_corners.png,Eight projected cuboid corners,/media/prabuddhi/Backup2/Updated Dataset_PW/calibration.zip,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
09,figures/09_projected_3d_cuboid.png,Projected 3D cuboid against YOLO box,/media/prabuddhi/Backup2/Updated Dataset_PW/calibration.zip,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
10,figures/10_projected_lidar_rectangle.png,Projected 2D LiDAR envelope and clipping,/media/prabuddhi/Backup2/Updated Dataset_PW/calibration.zip,footpath1_p1_oj+mk+gl_1walk+check_st_11_12_2024_1_label/1731407186_709929023,tools/create_late_fusion_visual_walkthrough.py
